stage|lat|lon|ele|dist
stage-01|43.75862|11.32798|74.9|0.0
stage-01|43.76558000000001|11.342160000000002|71.65|1.4097496039915853
stage-01|43.771750000000004|11.360220000000002|69.07000000000001|3.0693611547146857
stage-01|43.78264|11.366600000000002|75.35|4.463161896244129
stage-01|43.78591|11.383220000000001|75.37|5.923117008881115
stage-01|43.782790000000006|11.397530000000001|78.28|7.24925060277061
stage-01|43.774190000000004|11.41216|84.03|8.782367949934216
stage-01|43.77478000000001|11.418140000000001|84.26|9.321602063175224
stage-01|43.776140000000005|11.426020000000001|98.44000000000001|10.162509986691513
stage-01|43.77528|11.4441|89.95|11.668384763762198
stage-01|43.78565000159873|11.452499997768003|91.11000000000001|13.073637606371978
stage-01|43.79046|11.464970000000001|94.79|14.386188813443129
stage-01|43.799895003782545|11.4657749910261|101.29|15.635836145815915
stage-01|43.811130000000006|11.476780000000002|107.38|17.236821030094962
stage-01|43.826600000000006|11.487810000000001|114.37|19.205156459642968
stage-01|43.832570000000004|11.49863|123.75000000000001|20.403682220392547
stage-01|43.844010000000004|11.499410000000001|140.39000000000001|21.77394630026538
stage-01|43.850260000000006|11.512210000000001|135.04000000000002|23.205343467052096
stage-01|43.856460000000006|11.520980000000002|136.63|24.355086816712763
stage-01|43.863960000000006|11.530830000000002|141.89000000000001|25.61909578380351
stage-01|43.87469|11.529860000000001|144.6|26.860411077806877
stage-01|43.8832|11.52828|155.77|27.84555141961329
stage-01|43.89162|11.526140000000002|163.12|28.954999159165048
stage-01|43.89462|11.53982|187.29000000000002|30.151478442406376
stage-01|43.900220000000004|11.550120000000001|196.70000000000002|31.264102740948573
stage-01|43.908640000000005|11.557730000000001|220.63000000000002|32.45132257307717
stage-01|43.91545000000001|11.563160000000002|240.52|33.41115354845512
stage-01|43.92332000170586|11.575194994912575|252.48000000000005|34.777712050765594
stage-01|43.925790000000006|11.585930000000001|275.47|35.85756642407665
stage-01|43.92588000000001|11.596910000000001|288.77000000000004|36.81679679686791
stage-01|43.927730000000004|11.610510000000001|319.25|38.03359615304183
stage-01|43.925940000000004|11.612860000000001|345.78000000000003|38.55132559215046
stage-01|43.925990000000006|11.6179|394.79|39.299832742724234
stage-01|43.92969|11.620550000000001|418.32|40.07872140714699
stage-01|43.93236|11.62315|461.75000000000006|40.6083228166044
stage-01|43.936930000000004|11.62419|509.19|41.26266594663373
stage-01|43.93659|11.62855|554.0400000000001|41.89581947768864
stage-01|43.935750000000006|11.63432|599.89|42.470264057401884
stage-01|43.935750000000006|11.637110000000002|644.93|43.11983101249127
stage-01|43.93309000000001|11.64018|683.6300000000001|43.65252089145588
stage-01|43.93227|11.6417|713.77|44.32721125955896
stage-01|43.93131|11.646180000000001|722.16|44.79463312011985
stage-01|43.93151|11.649170000000002|726.8800000000001|45.27042975766233
stage-01|43.929570000000005|11.654940000000002|771.09|46.04767123492588
stage-01|43.92381|11.661570000000001|823.6800000000001|47.00203715162239
stage-01|43.927200000000006|11.665880000000001|857.47|47.64051712796942
stage-01|43.92578|11.669680000000001|892.8600000000001|48.29458925582625
stage-01|43.92588000000001|11.678360000000001|941.3800000000001|49.22642785466059
stage-01|43.92982000000001|11.67913|958.01|49.95024251893872
stage-01|43.93103000000001|11.67633|940.24|50.344441474317364
stage-01|43.93168|11.68476|902.57|51.08458045681873
stage-01|43.93450000000001|11.68565|869.0500000000001|51.76311421668556
stage-01|43.93388|11.691320000000001|854.9700000000001|52.337969310500064
stage-01|43.93569|11.69378|835.72|52.8199970347493
stage-01|43.93594|11.69696|814.19|53.32885426113012
stage-01|43.93854|11.700050000000001|800.72|53.76208333957792
stage-01|43.94109|11.704130000000001|777.2|54.25212987878117
stage-01|43.943340000000006|11.706010000000001|757.21|54.79051821180689
stage-01|43.94507|11.712230000000002|735.09|55.466391725527906
stage-01|43.943310000000004|11.72104|704.3000000000001|56.282497655588436
stage-01|43.94588|11.725190000000001|668.52|56.884497320018966
stage-01|43.94812|11.7253|643.4200000000001|57.617997469649666
stage-01|43.949490000000004|11.73154|611.68|58.245538802774746
stage-01|43.95064000000001|11.73567|577.0300000000001|58.86405543243208
stage-01|43.95197|11.745190000000001|550.03|59.76566473202084
stage-01|43.958510000000004|11.750580000000001|553.7800000000001|60.72144506828783
stage-01|43.96322000124367|11.75718999740118|514.6200000000001|61.52618461785036
stage-01|43.96835|11.761170000000002|505.3500000000001|62.25455306346488
stage-01|43.97229|11.76571|499.1700000000001|62.96590634280357
stage-01|43.975260000000006|11.773890000000002|474.96000000000004|63.842967150036685
stage-01|43.980140000000006|11.78086|445.25|64.74347732739396
stage-01|43.987230000000004|11.790560000000001|423.29|66.03048552551874
stage-01|43.99367|11.797730000000001|425.23|67.01418474329198
stage-01|43.998830000000005|11.808440000000001|398.14000000000004|68.08316578847453
stage-01|44.00343|11.816590000000001|390.29|68.9719618740836
stage-01|44.01041|11.825080000000002|367.52|70.05329810771721
stage-01|44.016780000000004|11.83622|344.19000000000005|71.30002229510559
stage-01|44.019760000000005|11.846470000000002|320.15999999999997|72.30529100211132
stage-01|44.020950000000006|11.857940000000001|299.69|73.32103768301842
stage-01|44.02056|11.871480000000002|316.1|74.4827898663467
stage-01|44.02118000033498|11.880125002151031|279.09|75.34325869012858
stage-01|44.018730000000005|11.8899|338.78000000000003|76.34328967380057
stage-01|44.016220000000004|11.89601|395.45|77.14402406217235
stage-01|44.01541|11.901010000000001|438.51|77.91078330798241
stage-01|44.010870000000004|11.90403|408.51000000000005|78.55287419230228
stage-01|44.009350000000005|11.905310000000002|373.35|79.09535328882012
stage-01|44.00712|11.906880000000001|334.56|79.60077749044204
stage-01|44.006190000000004|11.907680000000001|302.95|80.13723077244602
