stage|lat|lon|ele|dist
stage-01|41.40631|2.21932|11.0|0.0
stage-01|41.39635|2.20803|8.0|1.475753834381251
stage-01|41.39179|2.19792|12.0|2.710821864322427
stage-01|41.3984|2.20746|8.0|3.9347892205293666
stage-01|41.40694|2.21835|9.0|5.251405070403856
stage-01|41.41756|2.2043|22.0|6.915468332947607
stage-01|41.41061|2.18928|21.0|8.688239869969511
stage-01|41.4023|2.17383|48.0|10.520864399918509
stage-01|41.38942|2.16124|46.0|12.541970962826186
stage-01|41.37684|2.14756|41.0|14.523615348922078
stage-01|41.3729|2.15048|38.0|15.081364779703872
stage-01|41.37028|2.15676|50.0|15.870098987185054
stage-01|41.3677|2.15692|82.0|16.60072286327684
stage-01|41.36659|2.15043|88.0|17.57032041476144
stage-01|41.36176|2.14849|52.0|18.51873995190074
stage-01|41.36255|2.15598|97.0|19.36663593161874
stage-02|41.1268|1.2927|7.0|0.0
stage-02|41.13166|1.30626|11.0|1.2946861755956645
stage-02|41.13787|1.34421|9.0|4.634022115705339
stage-02|41.14504|1.35234|17.0|5.757455007566284
stage-02|41.15306|1.36721|16.0|7.335152234905302
stage-02|41.15729|1.3869|46.0|9.170713873529419
stage-02|41.16032|1.41759|37.0|11.871655158042833
stage-02|41.15829|1.43314|3.0|13.420706091630624
stage-02|41.16186|1.43886|8.0|14.804615159319622
stage-02|41.1679|1.45889|7.0|16.622723244324
stage-02|41.17524|1.47223|19.0|18.01632977450747
stage-02|41.17878|1.49809|16.0|20.253402345332237
stage-02|41.1872|1.51599|21.0|22.032409890429495
stage-02|41.19497|1.52614|26.0|23.30356821953955
stage-02|41.20665|1.53224|31.0|24.705062912060555
stage-02|41.21425|1.53486|39.0|25.70184358523158
stage-02|41.22068|1.53748|49.0|26.471819514251724
stage-02|41.22171|1.54181|52.0|27.127979161363537
stage-02|41.21232|1.54729|60.0|28.302273190044296
stage-02|41.20605|1.55665|88.0|29.43580883965981
stage-02|41.20248|1.56178|66.0|30.20791912341546
stage-02|41.19288|1.57269|9.0|31.697795983610696
stage-02|41.19196|1.58747|14.0|33.0285953349224
stage-02|41.19266|1.6036|6.0|34.392595329424225
stage-02|41.19541|1.61853|8.0|35.70132228682548
stage-02|41.19848|1.63319|15.0|36.997677886937694
stage-02|41.20034|1.64419|10.0|37.98116213471042
stage-02|41.20634|1.66862|7.0|40.14623101111405
stage-02|41.20875|1.6846|7.0|41.54418396043166
stage-02|41.21323|1.70678|25.0|43.604161337569295
stage-02|41.21798|1.71338|22.0|44.429710851101824
stage-02|41.22002|1.72332|16.0|45.33481045947363
stage-02|41.22515|1.73324|14.0|46.4362847160802
stage-02|41.22968|1.73848|24.0|47.14314553896077
stage-02|41.2351|1.74938|35.0|48.262057396574676
stage-02|41.23937|1.76574|52.0|49.83650458919263
stage-02|41.23214|1.7856|13.0|51.75110688731654
stage-02|41.23141|1.78899|14.0|52.42779061190905
stage-02|41.22573|1.78861|8.0|53.23724612649963
stage-02|41.23708|1.80317|14.0|55.27169116327927
stage-02|41.24055|1.80873|24.0|56.24951780897812
stage-02|41.23886|1.81774|29.0|57.08290693915711
stage-02|41.23756|1.82866|21.0|58.09704056545023
stage-02|41.23615|1.83553|32.0|58.76156152869422
stage-02|41.23621|1.84131|34.0|59.40598061496824
stage-02|41.23575|1.84712|49.0|60.17554114464629
stage-02|41.23499|1.85254|48.0|60.75029155843194
stage-02|41.23631|1.85914|32.0|61.45167344632356
stage-02|41.24092|1.86295|21.0|62.177040396694046
stage-02|41.24377|1.86723|54.0|62.96634376202824
stage-02|41.24577|1.87611|67.0|63.93356479772176
stage-02|41.24848|1.88443|109.0|64.73802447554337
stage-02|41.25142|1.88857|104.0|65.53284601349156
stage-02|41.25307|1.8919|81.0|66.1327493197009
stage-02|41.25284|1.89899|39.0|66.81547822580742
stage-02|41.25588|1.90599|24.0|67.78952620809531
stage-02|41.25789|1.91647|42.0|68.73684732332508
stage-02|41.26172|1.92607|22.0|69.7962258104435
stage-02|41.26253|1.93033|12.0|70.34740654647774
stage-02|41.26528|1.95733|5.0|72.64199786485584
stage-02|41.26565|1.9751|6.0|74.15393508293783
stage-02|41.26566|1.99178|4.0|75.59707513620563
stage-02|41.26548|2.00475|4.0|76.73887586954451
stage-02|41.26939|2.01863|8.0|78.17536681105847
stage-02|41.27944|2.01951|4.0|79.4564115815062
stage-02|41.29357|2.01898|5.0|81.25552041266253
stage-02|41.30056|2.03388|4.0|82.9319691756876
stage-02|41.3109|2.0244|10.0|84.35041232426319
stage-02|41.31351|2.0185|15.0|85.25863373362849
stage-02|41.30696|2.00691|20.0|86.6329460592473
stage-02|41.30533|1.99494|31.0|87.7849354585987
stage-02|41.30663|1.9884|74.0|88.56462915594572
stage-02|41.3087|1.98158|119.0|89.287180683966
stage-02|41.31197|1.97206|172.0|90.21967192800125
stage-02|41.31474|1.96229|237.0|91.12700113235306
stage-02|41.31749|1.95561|286.0|91.943257742036
stage-02|41.31924|1.95412|290.0|92.54723315856339
stage-02|41.32356|1.95043|331.0|93.25064916390942
stage-02|41.32267|1.94958|395.0|93.98761746793636
stage-02|41.32824|1.93936|395.0|95.1877762978485
stage-02|41.32846|1.92668|377.0|96.27855413665876
stage-02|41.32948|1.9106|371.0|97.66511697920504
stage-02|41.33718|1.8999|355.0|99.00432614493128
stage-02|41.3369|1.88761|350.0|100.14430769537013
stage-02|41.33452|1.87968|334.0|100.94336263981344
stage-02|41.33399|1.87025|313.0|101.86072198206577
stage-02|41.33685|1.86313|306.0|102.84059010475676
stage-02|41.34343|1.8578|291.0|103.806462111792
stage-02|41.34623|1.8544|268.0|104.50870252954707
stage-02|41.35162|1.85021|269.0|105.78558954414129
stage-02|41.35735|1.86159|301.0|107.02094427646517
stage-02|41.35882|1.86668|319.0|107.64817129679356
stage-02|41.35771|1.87112|337.0|108.18965902718607
stage-02|41.36019|1.87941|367.0|109.02864362971413
stage-02|41.36076|1.88332|391.0|109.59584187370272
stage-02|41.36195|1.89051|411.0|110.29352016244906
stage-02|41.36662|1.8981|422.0|111.21706140813087
stage-02|41.37035|1.9009|349.0|112.02581446757844
stage-02|41.3723|1.90497|272.0|112.77569953992233
stage-02|41.37721|1.91086|257.0|113.54423406577155
stage-02|41.38012|1.92088|224.0|114.48310055635727
stage-02|41.38229|1.92654|209.0|115.12845572518582
stage-02|41.38978|1.9362|175.0|116.4521721288789
stage-02|41.3895|1.946|145.0|117.36719890341561
stage-02|41.39613|1.95751|124.0|118.69770963630975
stage-02|41.39749|1.97045|87.0|119.80960752617823
stage-02|41.39972|1.98615|61.0|121.17360036543775
stage-02|41.40372|1.99527|44.0|122.0832321453918
stage-02|41.41023|2.015|28.0|123.99610182721098
stage-02|41.41572|2.02137|44.0|125.29756415738679
stage-02|41.42199|2.02836|86.0|126.25396787065367
stage-02|41.42617|2.03668|145.0|127.19561279880863
stage-02|41.42806|2.04363|192.0|127.94645691749015
stage-02|41.42783|2.04741|236.0|128.52948284856296
stage-02|41.43059|2.05343|284.0|129.2214431347858
stage-02|41.42873|2.06123|315.0|130.04513791161258
stage-02|41.4192|2.06139|352.0|131.14505483598205
stage-02|41.41578|2.05981|333.0|131.64538516026366
stage-02|41.41789|2.06655|363.0|132.34272105813568
stage-02|41.41769|2.07356|399.0|133.11809006204038
stage-02|41.41358|2.08015|417.0|133.90775044121224
stage-02|41.40974|2.08198|386.0|134.51061810648
stage-02|41.40779|2.08431|343.0|135.04252882177033
stage-02|41.40807|2.09259|317.0|135.8524075630438
stage-02|41.40833|2.09713|340.0|136.48477602115253
stage-02|41.40971|2.10291|336.0|137.20914394055006
stage-02|41.4086|2.10352|312.0|137.75138735280953
stage-02|41.40671|2.10639|288.0|138.30676175591262
stage-02|41.407|2.11146|249.0|138.84975480795245
stage-02|41.40685|2.11242|220.0|139.45229860625048
stage-02|41.40584|2.11503|178.0|140.36787781619194
stage-02|41.40035|2.12573|127.0|141.7312189895024
stage-02|41.39836|2.1439|95.0|143.4484547754467
stage-02|41.38404|2.15408|44.0|145.69437828725043
stage-02|41.37531|2.14868|44.0|147.05342052449285
stage-02|41.37222|2.15291|42.0|147.70772946737358
stage-02|41.3749|2.16774|26.0|149.15769042052298
stage-02|41.37096|2.16846|39.0|150.23801290303692
stage-02|41.36972|2.16905|86.0|150.99125453965365
stage-02|41.36455|2.16535|173.0|151.8515624794831
stage-02|41.35982|2.15799|139.0|152.8037176433258
stage-02|41.36113|2.15242|74.0|153.53716300349015
stage-02|41.3661|2.15541|103.0|154.44955061637512
stage-02|41.36503|2.14601|73.0|155.30895828965288
stage-02|41.35969|2.14932|49.0|156.05829556083336
stage-02|41.36058|2.13881|14.0|157.4387246351772
stage-02|41.36468|2.14011|35.0|158.10309231552577
stage-02|41.3668|2.14347|58.0|158.92443444727
stage-02|41.36983|2.14922|54.0|159.61220631493114
stage-02|41.37494|2.15609|34.0|160.53230458701168
stage-02|41.37247|2.17199|19.0|162.2208050530907
stage-02|41.37063|2.17052|65.0|162.93981070603598
stage-02|41.36716|2.16826|120.0|163.76412363790772
stage-02|41.36274|2.16145|153.0|164.68997170476374
stage-02|41.359|2.15392|97.0|165.5698186267032
stage-02|41.36376|2.15734|105.0|166.4038553899018
stage-02|41.36558|2.14745|83.0|167.49723901158373
stage-02|41.36006|2.14964|54.0|168.3352951517396
stage-02|41.35828|2.14027|14.0|169.48928436703983
stage-02|41.36428|2.1402|35.0|170.40548646513187
stage-02|41.36524|2.14487|59.0|171.05348010447307
stage-02|41.36943|2.14838|60.0|171.87351950009977
stage-02|41.37395|2.1547|37.0|172.719948667289
stage-02|41.37407|2.17285|14.0|174.37768641213398
stage-02|41.37074|2.17035|62.0|175.26939043327778
stage-02|41.36774|2.16869|113.0|176.0390310666413
stage-02|41.36312|2.16135|153.0|176.9956838559385
stage-02|41.359|2.15392|97.0|177.9185339018567
stage-02|41.36344|2.15712|100.0|178.7125186573499
stage-03|41.62438|2.25137|165.0|0.0
stage-03|41.62653|2.23524|155.0|1.4841314222284299
stage-03|41.63025|2.23032|189.0|2.120277292656408
stage-03|41.63447|2.21175|243.0|3.8196523138817065
stage-03|41.64027|2.19655|279.0|5.381723058819527
stage-03|41.63763|2.18692|276.0|6.318651889328939
stage-03|41.63312|2.17409|230.0|7.543595832423444
stage-03|41.6401|2.16813|261.0|8.513548223639454
stage-03|41.64546|2.16187|265.0|9.394960012907626
stage-03|41.65004|2.16185|296.0|9.930110259832201
stage-03|41.65632|2.16207|332.0|10.658930931743052
stage-03|41.66988|2.16462|424.0|12.209294929260118
stage-03|41.67812|2.16434|455.0|13.205969654330556
stage-03|41.68148|2.16319|454.0|13.635496455003494
stage-03|41.68265|2.16318|454.0|13.792687291034058
stage-03|41.68746|2.16417|481.0|14.356344490001678
stage-03|41.68955|2.16631|497.0|14.68467653676673
stage-03|41.69018|2.16983|510.0|15.007234901000391
stage-03|41.69523|2.17211|542.0|15.624808096912258
stage-03|41.6943|2.16977|552.0|15.874999073319563
stage-03|41.69533|2.1681|560.0|16.089347693724264
stage-03|41.69755|2.16856|579.0|16.366854523596196
stage-03|41.69918|2.16682|588.0|16.64443690715472
stage-03|41.70183|2.16597|606.0|16.978509972284908
stage-03|41.70527|2.16035|626.0|17.798175000367326
stage-03|41.70732|2.15748|628.0|18.454654311022
stage-03|41.71065|2.17067|653.0|20.031167940855248
stage-03|41.71569|2.16986|632.0|20.691018021896618
stage-03|41.72196|2.16924|603.0|21.5610083575246
stage-03|41.72302|2.16619|580.0|21.97823288174408
stage-03|41.7247|2.16846|593.0|22.267711814834257
stage-03|41.72423|2.16914|601.0|22.51819668551146
stage-03|41.72511|2.17436|631.0|23.175916546922775
stage-03|41.72493|2.17951|665.0|24.11010542515532
stage-03|41.73072|2.18233|689.0|25.02761502544848
stage-03|41.73567|2.18461|709.0|25.646068429993985
stage-03|41.73923|2.18887|718.0|26.219057344556376
stage-03|41.74299|2.19099|714.0|26.72139773198865
stage-03|41.7463|2.19619|717.0|27.507417341008875
stage-03|41.75089|2.20968|750.0|29.159473066510255
stage-03|41.7624|2.20841|736.0|30.489129264381585
stage-03|41.7671|2.20818|700.0|31.286013834591973
stage-03|41.77355|2.21092|658.0|32.24009621372963
stage-03|41.77887|2.21258|629.0|32.93023561548611
stage-03|41.78241|2.21592|612.0|33.503113049141376
stage-03|41.78735|2.21645|583.0|34.231931351044295
stage-03|41.79559|2.2158|553.0|35.235721171940675
stage-03|41.80215|2.21787|544.0|36.0127041876264
stage-03|41.80882|2.22708|526.0|37.157073675241435
stage-03|41.81157|2.23118|534.0|37.6981591176889
stage-03|41.8155|2.23416|551.0|38.28913219502138
stage-03|41.82251|2.23569|576.0|39.091735357678246
stage-03|41.82604|2.23537|587.0|39.50177905369167
stage-03|41.84548|2.23283|597.0|41.67601449426251
stage-03|41.84517|2.23528|603.0|41.97234388951988
stage-03|41.84469|2.24218|598.0|42.574412809073095
stage-03|41.84412|2.25034|587.0|43.27222410072072
stage-03|41.84806|2.25827|579.0|44.093675982548376
stage-03|41.85664|2.27029|575.0|45.507658479220524
stage-03|41.85968|2.27604|596.0|46.19324286635053
stage-03|41.86784|2.28227|616.0|47.28895110326443
stage-03|41.87481|2.28574|626.0|48.144284349040696
stage-03|41.87744|2.28717|619.0|48.49317470825759
stage-03|41.88025|2.28606|620.0|48.836842710894814
stage-03|41.88608|2.28095|601.0|49.62151866433359
stage-03|41.89814|2.28318|545.0|51.0637442546284
stage-03|41.90101|2.28194|525.0|51.538511058634526
stage-03|41.90761|2.27997|508.0|52.31540504638336
stage-03|41.91981|2.27101|488.0|53.88905121072749
stage-03|41.92654|2.2678|479.0|54.69585812506525
stage-03|41.92694|2.26779|479.0|54.777097622701255
stage-03|41.92899|2.26109|484.0|55.386292023785835
stage-03|41.92923|2.25938|489.0|55.5399430669672
