stage|lat|lon|ele|dist
stage-01|47.63942|-2.79737|10.0|0.0
stage-01|47.63731|-2.80044|19.0|0.33248791751336115
stage-01|47.63566|-2.80177|27.0|0.5478473633064441
stage-01|47.63338|-2.80364|26.0|0.8590372150098027
stage-01|47.63243|-2.80278|26.0|0.9942225079309462
stage-01|47.63118|-2.80211|30.0|1.1671394025991972
stage-01|47.62814|-2.80305|34.0|1.5252943707832558
stage-01|47.62576|-2.80597|28.0|1.8947577230846886
stage-01|47.62667|-2.8104|30.0|2.2435948246970816
stage-01|47.62695|-2.81372|35.0|2.4990518618149147
stage-01|47.6274|-2.81603|32.0|2.699922286355297
stage-01|47.62645|-2.81999|23.0|3.0183795081903857
stage-01|47.62689|-2.82213|27.0|3.2031718247754104
stage-01|47.62797|-2.82264|31.0|3.3678770688866964
stage-01|47.63|-2.82263|36.0|3.5977316962578074
stage-01|47.63196|-2.82333|41.0|3.824850001173487
stage-01|47.63362|-2.8238|44.0|4.020493225340368
stage-01|47.63487|-2.82633|47.0|4.266715614320644
stage-01|47.63789|-2.82766|46.0|4.632710368461194
stage-01|47.63903|-2.82817|47.0|4.7765350229352155
stage-01|47.64087|-2.83206|51.0|5.145792891928672
stage-01|47.64402|-2.83668|55.0|5.642598340597828
stage-01|47.6459|-2.84223|48.0|6.10976179546483
stage-01|47.6483|-2.84684|52.0|6.548385996796372
stage-01|47.65418|-2.8572|47.0|7.566372470963172
stage-01|47.65728|-2.85579|51.0|7.957302770707003
stage-01|47.65902|-2.85677|48.0|8.181145660045571
stage-01|47.65966|-2.85876|47.0|8.34967615548533
stage-01|47.65993|-2.8597|47.0|8.431226297829014
stage-01|47.66137|-2.85995|48.0|8.608044689913974
stage-01|47.6618|-2.85942|46.0|8.678835836151134
stage-01|47.66111|-2.85688|44.0|8.891999184557775
stage-01|47.66116|-2.85325|45.0|9.168592917865523
stage-01|47.66172|-2.85113|48.0|9.34979235897508
stage-01|47.664|-2.84698|41.0|9.75128836836842
stage-01|47.66684|-2.84178|37.0|10.252832606457508
stage-01|47.66854|-2.83872|34.0|10.550069688104015
stage-01|47.67032|-2.8369|32.0|10.796922997360099
stage-01|47.67262|-2.83623|34.0|11.061028634647785
stage-01|47.6742|-2.83589|33.0|11.240013992492733
stage-01|47.67435|-2.8344|32.0|11.37478005755083
stage-01|47.67565|-2.83235|32.0|11.59834809204256
stage-01|47.67614|-2.82974|32.0|11.813558684364917
stage-01|47.67756|-2.82695|30.0|12.083262759687477
stage-01|47.67919|-2.82586|28.0|12.297237206693946
stage-01|47.67942|-2.82332|30.0|12.50271151147721
stage-01|47.68061|-2.82012|32.0|12.78223041075791
stage-01|47.683|-2.81694|34.0|13.141571714177479
stage-01|47.68685|-2.81263|44.0|13.692430499860812
stage-01|47.68979|-2.80943|48.0|14.101490144811732
stage-01|47.69108|-2.80731|45.0|14.320208865890075
stage-01|47.69243|-2.80738|45.0|14.481867455470809
stage-01|47.69503|-2.80611|47.0|14.807192264950075
stage-01|47.69523|-2.80598|47.0|14.83654904920295
stage-01|47.69633|-2.80634|48.0|14.968117658973219
stage-01|47.69799|-2.80641|49.0|15.16034766360942
stage-01|47.70015|-2.80813|50.0|15.464309440018944
stage-01|47.70156|-2.80937|50.0|15.652035947917437
stage-01|47.70444|-2.81211|54.0|16.03594203306113
stage-01|47.70673|-2.81348|54.0|16.317467474989552
stage-01|47.70723|-2.81406|54.0|16.39999907585831
stage-01|47.71121|-2.81899|52.0|16.983704542199174
stage-01|47.71516|-2.82698|42.0|17.732977957272215
stage-01|47.7193|-2.82924|51.0|18.225416058823036
stage-01|47.72329|-2.83133|53.0|18.696568716759955
stage-01|47.72686|-2.83421|56.0|19.148431163958286
stage-01|47.73036|-2.83604|65.0|19.563475941466294
stage-01|47.7321|-2.83605|62.0|19.760907853720454
stage-01|47.73227|-2.83608|61.0|19.78394314634596
stage-01|47.73584|-2.8354|60.0|20.186508642868034
stage-01|47.73888|-2.83495|63.0|20.52837185292147
stage-01|47.74228|-2.83677|70.0|20.933746499114385
stage-01|47.74532|-2.83815|87.0|21.291396974868082
stage-01|47.74861|-2.83811|105.0|21.658013217489632
stage-01|47.75029|-2.8387|111.0|21.85423853137036
stage-01|47.75048|-2.8388|112.0|21.87943603721448
stage-01|47.7515|-2.84083|114.0|22.079642091289813
stage-01|47.75369|-2.84253|118.0|22.35650823619953
stage-01|47.75379|-2.84264|118.0|22.37533150907863
stage-01|47.75714|-2.84333|124.0|22.756443127644776
stage-01|47.75911|-2.84474|123.0|23.041572111630312
stage-01|47.76071|-2.84361|117.0|23.244075372738493
stage-01|47.76426|-2.84143|89.0|23.672779094538296
stage-01|47.76626|-2.84004|81.0|23.919268132194034
stage-01|47.7694|-2.83882|75.0|24.280682474070392
stage-01|47.77217|-2.838|68.0|24.597190207440743
stage-01|47.77381|-2.83644|63.0|24.82423633597497
stage-01|47.77572|-2.8366|55.0|25.040388240541176
stage-01|47.77779|-2.83577|52.0|25.281629973327725
stage-01|47.78037|-2.83541|55.0|25.580359096716002
stage-01|47.78187|-2.83482|62.0|25.760372174254847
stage-01|47.78398|-2.83376|66.0|26.014470358797784
stage-01|47.7861|-2.832|74.0|26.295197385084677
stage-01|47.78882|-2.82818|80.0|26.71284041764168
stage-01|47.79075|-2.82807|87.0|26.931409046204443
stage-01|47.79226|-2.82742|94.0|27.137582154068962
stage-01|47.79244|-2.82469|107.0|27.388465409400855
stage-01|47.79362|-2.82737|117.0|27.63425197869996
stage-01|47.79513|-2.82698|134.0|27.810169206422675
stage-01|47.79665|-2.82714|143.0|27.986707048972907
stage-01|47.79841|-2.82637|139.0|28.197478307032707
stage-01|47.80035|-2.82535|129.0|28.43785251942158
stage-01|47.80236|-2.82422|135.0|28.684166211386273
stage-01|47.80526|-2.82253|144.0|29.033277802959617
stage-01|47.80652|-2.82153|145.0|29.19370838137996
stage-01|47.80865|-2.82096|134.0|29.44388690683358
stage-01|47.81152|-2.81852|120.0|29.81628007288429
stage-01|47.81355|-2.81626|116.0|30.0982574208944
stage-01|47.81509|-2.81424|111.0|30.333314714058957
stage-01|47.81503|-2.81397|110.0|30.35754468931577
stage-01|47.8152|-2.81384|110.0|30.38223166070869
stage-01|47.81605|-2.81302|110.0|30.504900349064645
stage-01|47.81628|-2.81224|110.0|30.57348904783563
stage-01|47.81372|-2.81097|113.0|30.87714844485045
stage-01|47.81164|-2.80979|112.0|31.127473408768385
stage-01|47.81153|-2.80964|112.0|31.147790509373355
stage-01|47.81162|-2.80949|112.0|31.166922257894893
stage-01|47.81192|-2.80535|111.0|31.487311590618305
stage-01|47.81157|-2.79884|111.0|31.97623267635091
