stage|lat|lon|ele|dist
stage-01|50.59498|3.03719|42.0|0.0
stage-01|50.59166|3.03547|39.0|0.38886466095194305
stage-01|50.59017|3.03477|37.0|0.5624779741532724
stage-01|50.58831|3.03418|38.0|0.7735613473121787
stage-01|50.58618|3.03432|35.0|1.0114133688303906
stage-01|50.58465|3.03379|31.0|1.1868070222549554
stage-01|50.58366|3.03344|30.0|1.2999023946569634
stage-01|50.58342|3.03314|29.0|1.3351098356171296
stage-01|50.58321|3.03343|29.0|1.3684554407913085
stage-01|50.58014|3.0338|28.0|1.7122722176967515
stage-01|50.57856|3.03352|30.0|1.892918070178098
stage-01|50.57686|3.03106|26.0|2.149917081764159
stage-01|50.57496|3.02852|24.0|2.427094574318926
stage-01|50.57201|3.02626|26.0|2.7928208202342333
stage-01|50.57111|3.0254|27.0|2.9100737911043772
stage-01|50.57026|3.02405|26.0|3.0446578886146654
stage-01|50.56883|3.0225|26.0|3.239073572733324
stage-01|50.56878|3.02184|26.0|3.287997554103259
stage-01|50.56843|3.02161|26.0|3.333025268508282
stage-01|50.56821|3.02216|26.0|3.383249211589322
stage-01|50.56783|3.02306|26.0|3.466732141511494
stage-01|50.56234|3.028|30.0|4.171616727771188
stage-01|50.56111|3.02856|31.0|4.318213530114264
stage-01|50.56078|3.02863|31.0|4.360187074912716
stage-01|50.56057|3.02919|32.0|4.406984726124368
stage-01|50.55927|3.03015|33.0|4.5671859239676
stage-01|50.55859|3.03128|35.0|4.67851298215692
stage-01|50.55793|3.03329|38.0|4.840515307538425
stage-01|50.55755|3.03347|38.0|4.885483034725895
stage-01|50.55649|3.033|38.0|5.008288466502885
stage-01|50.55554|3.03269|37.0|5.116340007001353
stage-01|50.55436|3.03227|36.0|5.250869598174704
stage-01|50.55373|3.03205|35.0|5.322645252973447
stage-01|50.55309|3.03182|34.0|5.395651671534671
stage-01|50.5519|3.03114|33.0|5.53656513658117
stage-01|50.55055|3.0302|32.0|5.70072110868146
stage-01|50.54999|3.0298|30.0|5.769119013735655
stage-01|50.54907|3.02892|28.0|5.888952593864555
stage-01|50.54767|3.02766|28.0|6.068336858505671
stage-01|50.54681|3.02689|28.0|6.178371434623003
stage-01|50.54554|3.02538|28.0|6.355443301782834
stage-01|50.54395|3.02329|27.0|6.585810179908121
stage-01|50.54292|3.02195|27.0|6.734424167962256
stage-01|50.5418|3.0207|27.0|6.887289382002955
stage-01|50.54113|3.02002|26.0|6.97610549350344
stage-01|50.53938|3.01894|24.0|7.185197013566977
stage-01|50.5364|3.01714|23.0|7.541381627716374
stage-01|50.53497|3.01576|24.0|7.728229481600115
stage-01|50.53472|3.01519|23.0|7.7787882621322915
stage-01|50.53442|3.01495|23.0|7.81750667843158
stage-01|50.53394|3.01492|23.0|7.873187779187898
stage-01|50.53235|3.01434|23.0|8.05707634748499
stage-01|50.53109|3.01366|23.0|8.205728245126986
stage-01|50.52904|3.0114|22.0|8.484182452469742
stage-01|50.52768|3.00892|22.0|8.716968481615227
stage-01|50.52752|3.00797|22.0|8.788040572957733
stage-01|50.52711|3.00735|22.0|8.852895622130474
stage-01|50.52625|3.00578|23.0|8.999927873148257
stage-01|50.52418|3.00269|23.0|9.318461881713041
stage-01|50.52315|3.00037|24.0|9.518546093039237
stage-01|50.5219|2.99789|25.0|9.742360143665787
stage-01|50.51939|2.99207|28.0|10.239720140927423
stage-01|50.51821|2.99076|28.0|10.400869006496142
stage-01|50.51722|2.98885|29.0|10.57549051436744
stage-01|50.51523|2.98684|31.0|10.838497639136829
stage-01|50.51337|2.98427|31.0|11.114756146067206
stage-01|50.51093|2.97877|31.0|11.589133700338776
stage-01|50.50746|2.97428|29.0|12.089003542970806
stage-01|50.50627|2.97206|27.0|12.294920496824332
stage-01|50.50592|2.97126|28.0|12.364681345936619
stage-01|50.50547|2.97112|28.0|12.418537924652789
stage-01|50.49955|2.96135|30.0|13.374358951556143
stage-01|50.49853|2.96038|32.0|13.50803644598941
stage-01|50.49775|2.95966|34.0|13.60906023006355
stage-01|50.49603|2.95916|33.0|13.803764278813224
stage-01|50.49452|2.95852|32.0|13.978875714221937
stage-01|50.49362|2.95783|32.0|14.090231448358972
stage-01|50.49171|2.95633|31.0|14.32766327025665
stage-01|50.49031|2.95524|30.0|14.501408496405547
stage-01|50.48763|2.95325|30.0|14.831014276015175
stage-01|50.48623|2.95081|28.0|15.128561359389572
stage-01|50.4862|2.949|26.0|15.256761635106441
stage-01|50.48596|2.94722|24.0|15.386591684204566
stage-01|50.48502|2.94522|22.0|15.562620440053651
stage-01|50.48444|2.94245|25.0|15.769726761766428
stage-01|50.48421|2.94228|25.0|15.875546116630872
stage-01|50.48389|2.94182|25.0|15.98403994618294
stage-01|50.4819|2.93786|25.0|16.34217515683033
stage-01|50.4807|2.93574|24.0|16.545943170966524
stage-01|50.48015|2.93515|24.0|16.621989778619035
stage-01|50.47972|2.93513|24.0|16.67215650097567
stage-01|50.47944|2.93591|24.0|16.737892173448287
stage-01|50.4788|2.93732|25.0|16.861861743195735
stage-01|50.47832|2.93824|25.0|16.946841710546295
stage-01|50.47734|2.93887|25.0|17.065944870581287
stage-01|50.4754|2.93985|25.0|17.292776139053302
stage-01|50.47382|2.94047|27.0|17.473985520822733
stage-01|50.47233|2.94083|27.0|17.641631268413526
stage-01|50.46845|2.94198|25.0|18.08067984222059
stage-01|50.46582|2.94233|26.0|18.374358675007972
stage-01|50.46496|2.94243|26.0|18.471181008777858
stage-01|50.46373|2.94237|25.0|18.60867794540778
stage-01|50.46352|2.94202|25.0|18.643126970826113
stage-01|50.46337|2.94218|25.0|18.66574842367785
stage-01|50.46131|2.94209|25.0|18.899169377697238
stage-01|50.46047|2.94194|26.0|18.993829022734403
stage-01|50.45946|2.94223|26.0|19.10805108916519
stage-01|50.45845|2.94275|27.0|19.226343614647813
stage-01|50.45751|2.94318|28.0|19.33633962878432
stage-01|50.45662|2.94264|29.0|19.442864356161827
stage-01|50.45462|2.94204|29.0|19.72683136570818
stage-01|50.45367|2.94038|28.0|19.884860557395616
stage-01|50.45287|2.93877|28.0|20.03127277912608
stage-01|50.45186|2.93719|28.0|20.19077882935113
stage-01|50.45119|2.93601|28.0|20.302729457573275
stage-01|50.4505|2.93326|28.0|20.52243959606937
stage-01|50.45043|2.93275|28.0|20.56273513207317
stage-01|50.4501|2.93268|28.0|20.600830558367743
stage-01|50.4493|2.93073|28.0|20.76708300038789
stage-01|50.44791|2.92581|30.0|21.148875657932113
stage-01|50.44695|2.92335|31.0|21.353174537711567
stage-01|50.44599|2.92121|31.0|21.538579156853004
stage-01|50.44563|2.92029|30.0|21.616862205527745
stage-01|50.44598|2.919|29.0|21.720744185331437
stage-01|50.44716|2.91687|29.0|21.92082519793643
stage-01|50.44802|2.91596|30.0|22.03678864453701
stage-01|50.44825|2.9146|31.0|22.13707614271469
stage-01|50.44829|2.91325|32.0|22.23334887337909
stage-01|50.44828|2.91299|33.0|22.274729412312322
stage-01|50.44717|2.91125|33.0|22.45061471632622
stage-01|50.44619|2.91009|33.0|22.587351954276656
stage-01|50.4457|2.90913|33.0|22.674864661330442
stage-01|50.44523|2.90754|33.0|22.799023029649234
stage-01|50.44467|2.90607|33.0|22.920797398756974
stage-01|50.44432|2.90454|34.0|23.03612750969621
stage-01|50.44424|2.90395|34.0|23.082618188701748
stage-01|50.44482|2.9033|35.0|23.1618527447777
stage-01|50.44472|2.90182|36.0|23.272054834345493
stage-01|50.44422|2.9001|36.0|23.406098386979306
stage-01|50.44358|2.89837|35.0|23.547968634941494
stage-01|50.44269|2.8962|34.0|23.73095228323067
stage-01|50.44215|2.89415|33.0|23.888682531959102
stage-01|50.44143|2.89102|33.0|24.12464579317301
stage-01|50.44114|2.88993|33.0|24.2083570422985
stage-01|50.44064|2.88611|32.0|24.48491048588889
stage-01|50.43979|2.88178|29.0|24.80590503551347
stage-01|50.43941|2.87957|29.0|24.96826566179034
stage-01|50.43918|2.87722|30.0|25.136654893935305
stage-01|50.43893|2.87487|30.0|25.305446498818593
stage-01|50.43842|2.87114|29.0|25.57566004594932
stage-01|50.43817|2.86908|27.0|25.72485954302493
stage-01|50.43808|2.86895|26.0|25.74136220711362
stage-01|50.43786|2.86742|26.0|25.854012931631924
stage-01|50.43794|2.86681|26.0|25.89951892463273
stage-01|50.438|2.86651|26.0|25.92520236662343
stage-01|50.43824|2.86435|27.0|26.080890050736965
stage-01|50.43873|2.86229|26.0|26.23856650189676
stage-01|50.43953|2.86143|23.0|26.351373693376576
stage-01|50.43951|2.86121|23.0|26.37529436279992
stage-01|50.43922|2.85868|26.0|26.55755467653308
stage-01|50.43859|2.8555|27.0|26.793552443616033
stage-01|50.4381|2.85384|29.0|26.92334287088375
stage-01|50.43763|2.85228|31.0|27.045723048868233
stage-01|50.43757|2.85126|32.0|27.11860678643003
stage-01|50.43764|2.84889|33.0|27.287025061104185
stage-01|50.43749|2.84733|34.0|27.39880936952509
stage-01|50.4371|2.843|34.0|27.708598949181262
stage-01|50.43727|2.84245|33.0|27.764011783763838
stage-01|50.43653|2.84088|32.0|27.902352375689937
stage-01|50.43581|2.83935|30.0|28.037328185012743
stage-01|50.43454|2.83666|29.0|28.274619675665647
stage-01|50.43381|2.83514|30.0|28.4096761374897
stage-01|50.43317|2.83403|31.0|28.516636411360505
stage-01|50.43248|2.83308|33.0|28.624364963727277
stage-01|50.43228|2.82952|35.0|28.877530441240197
stage-01|50.43211|2.82665|34.0|29.081704640134166
stage-01|50.43223|2.82549|34.0|29.16549908813453
stage-01|50.43259|2.82285|38.0|29.357123386631088
stage-01|50.43257|2.82241|40.0|29.389891757094706
stage-01|50.43273|2.81999|40.0|29.562276211191246
stage-01|50.43254|2.81854|40.0|29.6723845337942
stage-01|50.43212|2.81763|38.0|29.75207800447293
stage-01|50.43064|2.81564|36.0|29.972261252950123
stage-01|50.43048|2.81325|36.0|30.15152524681129
stage-01|50.43108|2.81106|36.0|30.321195845595796
stage-01|50.43187|2.80711|38.0|30.614553590371187
stage-01|50.43259|2.80392|36.0|30.855055490830043
stage-01|50.43282|2.80017|36.0|31.122663525049308
stage-01|50.43327|2.79717|38.0|31.340971902711306
stage-01|50.43391|2.7939|39.0|31.58749687763895
stage-01|50.43441|2.7921|41.0|31.73011829677265
