stage|lat|lon|ele|dist
stage-01|42.38637|-8.71285|63.0|0.0
stage-01|42.38147|-8.71607|50.3|0.6110726535989717
stage-01|42.38076|-8.71751|51.8|0.7912808937523168
stage-01|42.38263|-8.72274|55.9|1.2850494102181869
stage-01|42.37646|-8.72429|63.2|2.0087820384657458
stage-01|42.37505|-8.72568|62.3|2.218320386176335
stage-01|42.36693|-8.73394|44.6|3.370084400576639
stage-01|42.35923|-8.73986|37.7|4.356143395809627
stage-01|42.35293|-8.74409|44.7|5.141992203542379
stage-01|42.34872|-8.74624|35.0|5.6461532483577574
stage-01|42.3481|-8.74792|36.5|5.80620780530373
stage-01|42.34136|-8.75065|28.2|6.601831860435728
stage-01|42.34071|-8.75102|32.9|6.686677570489519
stage-01|42.3392|-8.75252|38.9|6.916537367475729
stage-01|42.3377|-8.75441|42.6|7.165024201824554
stage-01|42.33565|-8.7605|31.3|7.7190099706152795
stage-01|42.33282|-8.76652|13.1|8.307560020746799
stage-01|42.3299|-8.77589|12.4|9.151809022047352
stage-01|42.33062|-8.77712|17.9|9.291741457207005
stage-01|42.32873|-8.77903|14.8|9.565061422336763
stage-01|42.32546|-8.78833|6.6|10.485525322422111
stage-01|42.32787|-8.79349|21.5|11.075802322877813
stage-01|42.32828|-8.79522|27.8|11.231977879452039
stage-01|42.32838|-8.79682|35.0|11.373262012165757
stage-01|42.3288|-8.79819|42.0|11.52700541812103
stage-01|42.32886|-8.79916|46.2|11.615453486816179
stage-01|42.32731|-8.79907|50.4|11.800755064875911
stage-01|42.32662|-8.80038|54.3|11.95817623062238
stage-01|42.3275|-8.80203|60.7|12.12942366033922
stage-01|42.32963|-8.80209|67.3|12.384098058910045
stage-01|42.33066|-8.80236|70.7|12.52140854812122
stage-01|42.33135|-8.80451|81.0|12.750172752770732
stage-01|42.33187|-8.80597|86.5|12.891415926344663
stage-01|42.32616|-8.80767|101.2|13.559580441117722
stage-01|42.32451|-8.80573|99.0|13.812047996370346
stage-01|42.3218|-8.80523|96.7|14.15743099772771
stage-01|42.32063|-8.80587|97.6|14.322310421714514
stage-01|42.31861|-8.80644|98.3|14.56459925434597
stage-01|42.31839|-8.8053|98.5|14.667107611988161
stage-01|42.31844|-8.80409|98.2|14.773478025764748
stage-01|42.3174|-8.80418|101.4|14.898599404858368
stage-01|42.31651|-8.80377|105.8|15.016234751524452
stage-01|42.31543|-8.80395|109.2|15.1484484448072
stage-01|42.31396|-8.80379|111.5|15.31843432160112
stage-01|42.31243|-8.80268|108.0|15.515252030109854
stage-01|42.3109|-8.8023|105.5|15.697106287429815
